Contexto;Pregunta;Opción 1;Opción 2;Opción 3;Opción 4;Respuesta Correcta;Nueva Columna
El equipo de fútbol de Notre Dame tiene una larga historia, comenzando por primera vez cuando el equipo de fútbol americano Michigan Wolverines llevó al fútbol a Notre Dame en 1887 y jugó contra un grupo de estudiantes. En la larga historia desde entonces, 13 equipos irlandeses luchadores han ganado campeonatos nacionales consensuados (aunque la universidad sólo reclama 11), junto con otros nueve equipos que son nombrados campeones nacionales por al menos una fuente. Además, el programa tiene la mayor cantidad de miembros en el Salón de la Fama del Fútbol Americano Universitario, está empatado con la Universidad Estatal de Ohio con la mayor cantidad de trofeos ganados, y tienen el mayor porcentaje de victorias en la historia de la NCAA. Con la larga historia, Notre Dame ha acumulado muchos rivales, y su juego anual contra USC para el Jeweled Shillelagh ha sido nombrado por algunos como uno de los más importantes en el fútbol universitario.;¿En qué año empezó el fútbol de Notre Dame?;1887;1955;1920;1972;1887;Valor Predeterminado
El equipo de fútbol de Notre Dame tiene una larga historia, comenzando por primera vez cuando el equipo de fútbol americano Michigan Wolverines llevó al fútbol a Notre Dame en 1887 y jugó contra un grupo de estudiantes. En la larga historia desde entonces, 13 equipos irlandeses luchadores han ganado campeonatos nacionales consensuados (aunque la universidad sólo reclama 11), junto con otros nueve equipos que son nombrados campeones nacionales por al menos una fuente. Además, el programa tiene la mayor cantidad de miembros en el Salón de la Fama del Fútbol Americano Universitario, está empatado con la Universidad Estatal de Ohio con la mayor cantidad de trofeos ganados, y tienen el mayor porcentaje de victorias en la historia de la NCAA. Con la larga historia, Notre Dame ha acumulado muchos rivales, y su juego anual contra USC para el Jeweled Shillelagh ha sido nombrado por algunos como uno de los más importantes en el fútbol universitario.;¿Con qué universidad está Notre Dame empatada en términos de la mayoría de ganadores del Trofeo Heisman?;Universidad del Estado de Pensilvania;Universidad de Michigan;Universidad Estatal de Ohio;Universidad de Penn State;Universidad Estatal de Ohio;Valor Predeterminado
El equipo de fútbol de Notre Dame tiene una larga historia, comenzando por primera vez cuando el equipo de fútbol americano Michigan Wolverines llevó al fútbol a Notre Dame en 1887 y jugó contra un grupo de estudiantes. En la larga historia desde entonces, 13 equipos irlandeses luchadores han ganado campeonatos nacionales consensuados (aunque la universidad sólo reclama 11), junto con otros nueve equipos que son nombrados campeones nacionales por al menos una fuente. Además, el programa tiene la mayor cantidad de miembros en el Salón de la Fama del Fútbol Americano Universitario, está empatado con la Universidad Estatal de Ohio con la mayor cantidad de trofeos ganados, y tienen el mayor porcentaje de victorias en la historia de la NCAA. Con la larga historia, Notre Dame ha acumulado muchos rivales, y su juego anual contra USC para el Jeweled Shillelagh ha sido nombrado por algunos como uno de los más importantes en el fútbol universitario.;¿Contra qué equipo compite Notre Dame por el Jeweled Shillelagh?;USC;Michigan Wolverines;Alabama Crimson Tide;Georgia Bulldogs;USC;Valor Predeterminado
El equipo de fútbol de Notre Dame tiene una larga historia, comenzando por primera vez cuando el equipo de fútbol americano Michigan Wolverines llevó al fútbol a Notre Dame en 1887 y jugó contra un grupo de estudiantes. En la larga historia desde entonces, 13 equipos irlandeses luchadores han ganado campeonatos nacionales consensuados (aunque la universidad sólo reclama 11), junto con otros nueve equipos que son nombrados campeones nacionales por al menos una fuente. Además, el programa tiene la mayor cantidad de miembros en el Salón de la Fama del Fútbol Americano Universitario, está empatado con la Universidad Estatal de Ohio con la mayor cantidad de trofeos ganados, y tienen el mayor porcentaje de victorias en la historia de la NCAA. Con la larga historia, Notre Dame ha acumulado muchos rivales, y su juego anual contra USC para el Jeweled Shillelagh ha sido nombrado por algunos como uno de los más importantes en el fútbol universitario.;En términos de los estudiantes de Notre Dame en el Salón de la Fama del Fútbol Americano Universitario la cantidad de estudiantes nombrados es qué?;Un número impar de estudiantes;La mitad de los estudiantes;la mayor cantidad de;La menor cantidad de estudiantes;la mayor cantidad de;Valor Predeterminado
George Gipp fue el legendario jugador de fútbol de la escuela durante 1916-1920. Jugó béisbol semiprofesional y fumó, bebió y jugó cuando no jugaba deportes. También era humilde, generoso con los necesitados, y un hombre íntegro. Fue en 1928 que el famoso entrenador Knute Rockne usó su conversación final con el moribundo Gipp para inspirar al equipo de Notre Dame a vencer al equipo del Ejército y ganar una para el Gipper. La película de 1940, Knute Rockne, All American, protagonizada por Pat O 'Brien como Knute Rockne y Ronald Reagan como Gipp. Hoy el equipo compite en el Estadio Notre Dame, un estadio de 80,795-asientos en el campus. El actual entrenador es Brian Kelly, contratado por la Universidad de Cincinnati el 11 de diciembre de 2009. El récord de Kelly a mitad de camino a través de su sexta temporada en Notre Dame es de 52-21. En 2012, Kelly fue derrotado y jugó en el BCS National Championship Game. Kelly sucedió a Charlie Weis, quien fue despedido en noviembre de 2009 después de cinco temporadas. Aunque Weis llevó a su equipo a dos Bowls Championship Series, su récord general fue de 35-27, mediocre para los estándares de Notre Dame, y el equipo de 2007 tuvo más derrotas en la historia de la escuela. El equipo de fútbol genera suficientes ingresos para operar de forma independiente, mientras que $22.1 millones se retiene de las ganancias del equipo para uso académico. Forbes nombró al equipo como el más valioso en el fútbol universitario, por un total de $101 millones en 2007.;¿Qué jugador de fútbol jugó en Notre Dame de 1916 a 1920?;Knute Rockne;Ronald Reagan;George Gipp;Pat O'Brien;George Gipp;Valor Predeterminado
George Gipp fue el legendario jugador de fútbol de la escuela durante 1916-1920. Jugó béisbol semiprofesional y fumó, bebió y jugó cuando no jugaba deportes. También era humilde, generoso con los necesitados, y un hombre íntegro. Fue en 1928 que el famoso entrenador Knute Rockne usó su conversación final con el moribundo Gipp para inspirar al equipo de Notre Dame a vencer al equipo del Ejército y ganar una para el Gipper. La película de 1940, Knute Rockne, All American, protagonizada por Pat O 'Brien como Knute Rockne y Ronald Reagan como Gipp. Hoy el equipo compite en el Estadio Notre Dame, un estadio de 80,795-asientos en el campus. El actual entrenador es Brian Kelly, contratado por la Universidad de Cincinnati el 11 de diciembre de 2009. El récord de Kelly a mitad de camino a través de su sexta temporada en Notre Dame es de 52-21. En 2012, Kelly fue derrotado y jugó en el BCS National Championship Game. Kelly sucedió a Charlie Weis, quien fue despedido en noviembre de 2009 después de cinco temporadas. Aunque Weis llevó a su equipo a dos Bowls Championship Series, su récord general fue de 35-27, mediocre para los estándares de Notre Dame, y el equipo de 2007 tuvo más derrotas en la historia de la escuela. El equipo de fútbol genera suficientes ingresos para operar de forma independiente, mientras que $22.1 millones se retiene de las ganancias del equipo para uso académico. Forbes nombró al equipo como el más valioso en el fútbol universitario, por un total de $101 millones en 2007.;Contra qué oponente le dijo Knute Rockne a su equipo ganar uno por el Gipper?;Al equipo del público.;del Ejército;El equipo de fútbol de la Universidad de Notre Dame.;A su entrenador Knute Rockne.;del Ejército;Valor Predeterminado
George Gipp fue el legendario jugador de fútbol de la escuela durante 1916-1920. Jugó béisbol semiprofesional y fumó, bebió y jugó cuando no jugaba deportes. También era humilde, generoso con los necesitados, y un hombre íntegro. Fue en 1928 que el famoso entrenador Knute Rockne usó su conversación final con el moribundo Gipp para inspirar al equipo de Notre Dame a vencer al equipo del Ejército y ganar una para el Gipper. La película de 1940, Knute Rockne, All American, protagonizada por Pat O 'Brien como Knute Rockne y Ronald Reagan como Gipp. Hoy el equipo compite en el Estadio Notre Dame, un estadio de 80,795-asientos en el campus. El actual entrenador es Brian Kelly, contratado por la Universidad de Cincinnati el 11 de diciembre de 2009. El récord de Kelly a mitad de camino a través de su sexta temporada en Notre Dame es de 52-21. En 2012, Kelly fue derrotado y jugó en el BCS National Championship Game. Kelly sucedió a Charlie Weis, quien fue despedido en noviembre de 2009 después de cinco temporadas. Aunque Weis llevó a su equipo a dos Bowls Championship Series, su récord general fue de 35-27, mediocre para los estándares de Notre Dame, y el equipo de 2007 tuvo más derrotas en la historia de la escuela. El equipo de fútbol genera suficientes ingresos para operar de forma independiente, mientras que $22.1 millones se retiene de las ganancias del equipo para uso académico. Forbes nombró al equipo como el más valioso en el fútbol universitario, por un total de $101 millones en 2007.;¿Qué persona interpretó a Knute Rockne en la película de 1940 Knute Rockne?;James Stewart;Clark Gable;Pat O 'Brien;Gary Cooper;Pat O 'Brien;Valor Predeterminado
George Gipp fue el legendario jugador de fútbol de la escuela durante 1916-1920. Jugó béisbol semiprofesional y fumó, bebió y jugó cuando no jugaba deportes. También era humilde, generoso con los necesitados, y un hombre íntegro. Fue en 1928 que el famoso entrenador Knute Rockne usó su conversación final con el moribundo Gipp para inspirar al equipo de Notre Dame a vencer al equipo del Ejército y ganar una para el Gipper. La película de 1940, Knute Rockne, All American, protagonizada por Pat O 'Brien como Knute Rockne y Ronald Reagan como Gipp. Hoy el equipo compite en el Estadio Notre Dame, un estadio de 80,795-asientos en el campus. El actual entrenador es Brian Kelly, contratado por la Universidad de Cincinnati el 11 de diciembre de 2009. El récord de Kelly a mitad de camino a través de su sexta temporada en Notre Dame es de 52-21. En 2012, Kelly fue derrotado y jugó en el BCS National Championship Game. Kelly sucedió a Charlie Weis, quien fue despedido en noviembre de 2009 después de cinco temporadas. Aunque Weis llevó a su equipo a dos Bowls Championship Series, su récord general fue de 35-27, mediocre para los estándares de Notre Dame, y el equipo de 2007 tuvo más derrotas en la historia de la escuela. El equipo de fútbol genera suficientes ingresos para operar de forma independiente, mientras que $22.1 millones se retiene de las ganancias del equipo para uso académico. Forbes nombró al equipo como el más valioso en el fútbol universitario, por un total de $101 millones en 2007.;Ronald Reagan hizo el papel de quién en 1940 Knute Rockne?;Humphrey Bogart;Gary Cooper;James Cagney;Gipp;Gipp;Valor Predeterminado
George Gipp fue el legendario jugador de fútbol de la escuela durante 1916-1920. Jugó béisbol semiprofesional y fumó, bebió y jugó cuando no jugaba deportes. También era humilde, generoso con los necesitados, y un hombre íntegro. Fue en 1928 que el famoso entrenador Knute Rockne usó su conversación final con el moribundo Gipp para inspirar al equipo de Notre Dame a vencer al equipo del Ejército y ganar una para el Gipper. La película de 1940, Knute Rockne, All American, protagonizada por Pat O 'Brien como Knute Rockne y Ronald Reagan como Gipp. Hoy el equipo compite en el Estadio Notre Dame, un estadio de 80,795-asientos en el campus. El actual entrenador es Brian Kelly, contratado por la Universidad de Cincinnati el 11 de diciembre de 2009. El récord de Kelly a mitad de camino a través de su sexta temporada en Notre Dame es de 52-21. En 2012, Kelly fue derrotado y jugó en el BCS National Championship Game. Kelly sucedió a Charlie Weis, quien fue despedido en noviembre de 2009 después de cinco temporadas. Aunque Weis llevó a su equipo a dos Bowls Championship Series, su récord general fue de 35-27, mediocre para los estándares de Notre Dame, y el equipo de 2007 tuvo más derrotas en la historia de la escuela. El equipo de fútbol genera suficientes ingresos para operar de forma independiente, mientras que $22.1 millones se retiene de las ganancias del equipo para uso académico. Forbes nombró al equipo como el más valioso en el fútbol universitario, por un total de $101 millones en 2007.;¿Cuántos asientos hay en el Estadio Notre Dame?;105.000;95.000;80,795;90.000;80,795;Valor Predeterminado
Durante los juegos de casa, las actividades se producen en todo el campus y los diferentes dormitorios decoran sus salas con un artículo tradicional (p.e. El estandarte de dos pisos de Zahm House). Las actividades tradicionales comienzan a la medianoche con el círculo de los tambores. Esta tradición implica la línea de batería de la Banda de los Fighting Irish y los acomodadores en el resto de las festividades que continuarán el resto del sábado. Más tarde ese día, la sección de trompeta tocará la Marcha de la Victoria de Notre Dame y el Alma Mater de Notre Dame bajo la cúpula. Toda la banda tocará un concierto en las escaleras de Bond Hall, desde donde desfilarán en el Estadio Notre Dame, liderando a los fans y estudiantes por igual a través del campus hasta el juego.;¿Qué se muestra en Zahm House para partidos de fútbol en Notre Dame?;Bandera de Zahm House;estandarte de dos pisos de Zahm House;Escudo de la Universidad;Estándar de Notre Dame;estandarte de dos pisos de Zahm House;Valor Predeterminado
Durante los juegos de casa, las actividades se producen en todo el campus y los diferentes dormitorios decoran sus salas con un artículo tradicional (p.e. El estandarte de dos pisos de Zahm House). Las actividades tradicionales comienzan a la medianoche con el círculo de los tambores. Esta tradición implica la línea de batería de la Banda de los Fighting Irish y los acomodadores en el resto de las festividades que continuarán el resto del sábado. Más tarde ese día, la sección de trompeta tocará la Marcha de la Victoria de Notre Dame y el Alma Mater de Notre Dame bajo la cúpula. Toda la banda tocará un concierto en las escaleras de Bond Hall, desde donde desfilarán en el Estadio Notre Dame, liderando a los fans y estudiantes por igual a través del campus hasta el juego.;¿Qué ocurre a la medianoche antes de un partido de fútbol en casa en Notre Dame?;El desfile de los campeones de la conferencia.;el círculo de los tambores;El ritual de la bandera que ondea durante el partido.;La presentación de los equipos en el campo.;el círculo de los tambores;Valor Predeterminado
Durante los juegos de casa, las actividades se producen en todo el campus y los diferentes dormitorios decoran sus salas con un artículo tradicional (p.e. El estandarte de dos pisos de Zahm House). Las actividades tradicionales comienzan a la medianoche con el círculo de los tambores. Esta tradición implica la línea de batería de la Banda de los Fighting Irish y los acomodadores en el resto de las festividades que continuarán el resto del sábado. Más tarde ese día, la sección de trompeta tocará la Marcha de la Victoria de Notre Dame y el Alma Mater de Notre Dame bajo la cúpula. Toda la banda tocará un concierto en las escaleras de Bond Hall, desde donde desfilarán en el Estadio Notre Dame, liderando a los fans y estudiantes por igual a través del campus hasta el juego.;¿Desde dónde conduce la Banda de los Fighting Irish una marcha al Estadio Notre Dame para los partidos de fútbol en casa?;La línea de batería en el campo;El estadio Notre Dame;La cúpula de la universidad;las escaleras de Bond Hall;las escaleras de Bond Hall;Valor Predeterminado
Durante los juegos de casa, las actividades se producen en todo el campus y los diferentes dormitorios decoran sus salas con un artículo tradicional (p.e. El estandarte de dos pisos de Zahm House). Las actividades tradicionales comienzan a la medianoche con el círculo de los tambores. Esta tradición implica la línea de batería de la Banda de los Fighting Irish y los acomodadores en el resto de las festividades que continuarán el resto del sábado. Más tarde ese día, la sección de trompeta tocará la Marcha de la Victoria de Notre Dame y el Alma Mater de Notre Dame bajo la cúpula. Toda la banda tocará un concierto en las escaleras de Bond Hall, desde donde desfilarán en el Estadio Notre Dame, liderando a los fans y estudiantes por igual a través del campus hasta el juego.;¿Qué canciones toca la sección de trompeta de Band of the Fighting Irish antes de los partidos de fútbol en casa?;la Marcha de la Victoria de Notre Dame y el Alma Mater de Notre Dame;El Alma Mater de Notre Dame;La Marcha de Notre Dame;La Marcha del Fútbol de Notre Dame;la Marcha de la Victoria de Notre Dame y el Alma Mater de Notre Dame;Valor Predeterminado
El equipo masculino de baloncesto tiene más de 1.600 victorias, una de las 12 escuelas que han alcanzado esa marca, y han aparecido en 28 torneos de la NCAA. El ex jugador Austin Carr tiene el récord de más puntos anotados en un solo partido del torneo con 61. Aunque el equipo nunca ha ganado el torneo de la NCAA, fueron nombrados por la Helms Athletic Foundation como campeones nacionales dos veces. El equipo ha orquestado una serie de sorpresas de los equipos número uno clasificados, el más notable de los cuales fue poner fin a récord de UCLA de 88 juegos ganados racha en 1974. El equipo ha derrotado a ocho equipos número uno adicionales, y esas nueve victorias ocupan el segundo lugar, a los 10 de UCLA, todos los tiempos en victorias contra el equipo superior. El equipo juega en el recientemente renovado Pabellón Purcell (dentro del Centro Edmund P. Joyce), que se reabrió para el comienzo de la temporada 2009-2010. El equipo está entrenado por Mike Brey, quien, a partir de la temporada 2014-15, su decimoquinto en Notre Dame, ha logrado un récord de 332-165. En 2009 fueron invitados a la NIT, donde avanzaron a las semifinales, pero fueron derrotados por Penn State quien venció a Baylor en el campeonato. El equipo 2010-11 concluyó su temporada regular en el puesto número siete en el país, con un récord de 25-5, la quinta temporada consecutiva de 20 victorias de Brey, y un segundo puesto en el Big East. Durante la temporada 2014-15, el equipo se fue de 32-6 y ganó el torneo de conferencia de la ACC, más tarde avanzando a la Elite 8, donde los Fighting Irish perdieron en un golpeador perdido contra el entonces invicto Kentucky. Liderados por Jerian Grant y Pat Connaughton, los Fighting Irish derrotaron al eventual campeón nacional Duke Blue Devils dos veces durante la temporada. Las 32 victorias fueron las más logradas por el equipo de Fighting Irish desde 1908-09.;¿Cuántas victorias tiene el equipo de baloncesto masculino de Notre Dame?;800;más de 1.600;550;900;más de 1.600;Valor Predeterminado
El equipo masculino de baloncesto tiene más de 1.600 victorias, una de las 12 escuelas que han alcanzado esa marca, y han aparecido en 28 torneos de la NCAA. El ex jugador Austin Carr tiene el récord de más puntos anotados en un solo partido del torneo con 61. Aunque el equipo nunca ha ganado el torneo de la NCAA, fueron nombrados por la Helms Athletic Foundation como campeones nacionales dos veces. El equipo ha orquestado una serie de sorpresas de los equipos número uno clasificados, el más notable de los cuales fue poner fin a récord de UCLA de 88 juegos ganados racha en 1974. El equipo ha derrotado a ocho equipos número uno adicionales, y esas nueve victorias ocupan el segundo lugar, a los 10 de UCLA, todos los tiempos en victorias contra el equipo superior. El equipo juega en el recientemente renovado Pabellón Purcell (dentro del Centro Edmund P. Joyce), que se reabrió para el comienzo de la temporada 2009-2010. El equipo está entrenado por Mike Brey, quien, a partir de la temporada 2014-15, su decimoquinto en Notre Dame, ha logrado un récord de 332-165. En 2009 fueron invitados a la NIT, donde avanzaron a las semifinales, pero fueron derrotados por Penn State quien venció a Baylor en el campeonato. El equipo 2010-11 concluyó su temporada regular en el puesto número siete en el país, con un récord de 25-5, la quinta temporada consecutiva de 20 victorias de Brey, y un segundo puesto en el Big East. Durante la temporada 2014-15, el equipo se fue de 32-6 y ganó el torneo de conferencia de la ACC, más tarde avanzando a la Elite 8, donde los Fighting Irish perdieron en un golpeador perdido contra el entonces invicto Kentucky. Liderados por Jerian Grant y Pat Connaughton, los Fighting Irish derrotaron al eventual campeón nacional Duke Blue Devils dos veces durante la temporada. Las 32 victorias fueron las más logradas por el equipo de Fighting Irish desde 1908-09.;¿Cuántas escuelas tienen un récord de baloncesto masculino similar a Notre Dame en términos de victorias?;12;La Universidad de Michigan State;La Universidad de North Carolina;La Universidad de Kentucky;12;Valor Predeterminado
El equipo masculino de baloncesto tiene más de 1.600 victorias, una de las 12 escuelas que han alcanzado esa marca, y han aparecido en 28 torneos de la NCAA. El ex jugador Austin Carr tiene el récord de más puntos anotados en un solo partido del torneo con 61. Aunque el equipo nunca ha ganado el torneo de la NCAA, fueron nombrados por la Helms Athletic Foundation como campeones nacionales dos veces. El equipo ha orquestado una serie de sorpresas de los equipos número uno clasificados, el más notable de los cuales fue poner fin a récord de UCLA de 88 juegos ganados racha en 1974. El equipo ha derrotado a ocho equipos número uno adicionales, y esas nueve victorias ocupan el segundo lugar, a los 10 de UCLA, todos los tiempos en victorias contra el equipo superior. El equipo juega en el recientemente renovado Pabellón Purcell (dentro del Centro Edmund P. Joyce), que se reabrió para el comienzo de la temporada 2009-2010. El equipo está entrenado por Mike Brey, quien, a partir de la temporada 2014-15, su decimoquinto en Notre Dame, ha logrado un récord de 332-165. En 2009 fueron invitados a la NIT, donde avanzaron a las semifinales, pero fueron derrotados por Penn State quien venció a Baylor en el campeonato. El equipo 2010-11 concluyó su temporada regular en el puesto número siete en el país, con un récord de 25-5, la quinta temporada consecutiva de 20 victorias de Brey, y un segundo puesto en el Big East. Durante la temporada 2014-15, el equipo se fue de 32-6 y ganó el torneo de conferencia de la ACC, más tarde avanzando a la Elite 8, donde los Fighting Irish perdieron en un golpeador perdido contra el entonces invicto Kentucky. Liderados por Jerian Grant y Pat Connaughton, los Fighting Irish derrotaron al eventual campeón nacional Duke Blue Devils dos veces durante la temporada. Las 32 victorias fueron las más logradas por el equipo de Fighting Irish desde 1908-09.;¿Cuántos torneos de la NCAA participaron el equipo de baloncesto masculino de Notre Dame?;28;24;20;30;28;Valor Predeterminado
El equipo masculino de baloncesto tiene más de 1.600 victorias, una de las 12 escuelas que han alcanzado esa marca, y han aparecido en 28 torneos de la NCAA. El ex jugador Austin Carr tiene el récord de más puntos anotados en un solo partido del torneo con 61. Aunque el equipo nunca ha ganado el torneo de la NCAA, fueron nombrados por la Helms Athletic Foundation como campeones nacionales dos veces. El equipo ha orquestado una serie de sorpresas de los equipos número uno clasificados, el más notable de los cuales fue poner fin a récord de UCLA de 88 juegos ganados racha en 1974. El equipo ha derrotado a ocho equipos número uno adicionales, y esas nueve victorias ocupan el segundo lugar, a los 10 de UCLA, todos los tiempos en victorias contra el equipo superior. El equipo juega en el recientemente renovado Pabellón Purcell (dentro del Centro Edmund P. Joyce), que se reabrió para el comienzo de la temporada 2009-2010. El equipo está entrenado por Mike Brey, quien, a partir de la temporada 2014-15, su decimoquinto en Notre Dame, ha logrado un récord de 332-165. En 2009 fueron invitados a la NIT, donde avanzaron a las semifinales, pero fueron derrotados por Penn State quien venció a Baylor en el campeonato. El equipo 2010-11 concluyó su temporada regular en el puesto número siete en el país, con un récord de 25-5, la quinta temporada consecutiva de 20 victorias de Brey, y un segundo puesto en el Big East. Durante la temporada 2014-15, el equipo se fue de 32-6 y ganó el torneo de conferencia de la ACC, más tarde avanzando a la Elite 8, donde los Fighting Irish perdieron en un golpeador perdido contra el entonces invicto Kentucky. Liderados por Jerian Grant y Pat Connaughton, los Fighting Irish derrotaron al eventual campeón nacional Duke Blue Devils dos veces durante la temporada. Las 32 victorias fueron las más logradas por el equipo de Fighting Irish desde 1908-09.;¿Qué jugador de baloncesto masculino de Notre Dame tiene el récord de más puntos en un partido?;David Akinyele;Luke Zelinsky;Austin Carr;Bonzie Colson;Austin Carr;Valor Predeterminado
El equipo masculino de baloncesto tiene más de 1.600 victorias, una de las 12 escuelas que han alcanzado esa marca, y han aparecido en 28 torneos de la NCAA. El ex jugador Austin Carr tiene el récord de más puntos anotados en un solo partido del torneo con 61. Aunque el equipo nunca ha ganado el torneo de la NCAA, fueron nombrados por la Helms Athletic Foundation como campeones nacionales dos veces. El equipo ha orquestado una serie de sorpresas de los equipos número uno clasificados, el más notable de los cuales fue poner fin a récord de UCLA de 88 juegos ganados racha en 1974. El equipo ha derrotado a ocho equipos número uno adicionales, y esas nueve victorias ocupan el segundo lugar, a los 10 de UCLA, todos los tiempos en victorias contra el equipo superior. El equipo juega en el recientemente renovado Pabellón Purcell (dentro del Centro Edmund P. Joyce), que se reabrió para el comienzo de la temporada 2009-2010. El equipo está entrenado por Mike Brey, quien, a partir de la temporada 2014-15, su decimoquinto en Notre Dame, ha logrado un récord de 332-165. En 2009 fueron invitados a la NIT, donde avanzaron a las semifinales, pero fueron derrotados por Penn State quien venció a Baylor en el campeonato. El equipo 2010-11 concluyó su temporada regular en el puesto número siete en el país, con un récord de 25-5, la quinta temporada consecutiva de 20 victorias de Brey, y un segundo puesto en el Big East. Durante la temporada 2014-15, el equipo se fue de 32-6 y ganó el torneo de conferencia de la ACC, más tarde avanzando a la Elite 8, donde los Fighting Irish perdieron en un golpeador perdido contra el entonces invicto Kentucky. Liderados por Jerian Grant y Pat Connaughton, los Fighting Irish derrotaron al eventual campeón nacional Duke Blue Devils dos veces durante la temporada. Las 32 victorias fueron las más logradas por el equipo de Fighting Irish desde 1908-09.;¿Quién fue el entrenador de baloncesto masculino de Notre Dame en 2014?;Tom Crean;Mike Brey;Jim Boylen;John Beilein;Mike Brey;Valor Predeterminado
"La Marcha de la Victoria de Notre Dame es la canción de lucha para la Universidad de Notre Dame. Fue escrito por dos hermanos graduados de Notre Dame. El Rev. Michael J. Shea, un graduado de 1904, escribió la música, y su hermano, John F. Shea, que obtuvo títulos en 1906 y 1908, escribió la letra original. Las letras fueron revisadas en la década de 1920; Apareció por primera vez bajo los derechos de autor de la Universidad de Notre Dame en 1928. El estribillo dice: Ánimo para el viejo Notre Dame, despierta los ecos que aclaman su nombre. ¡Enviad una ovación en alto, empujad el trueno desde el cielo! Si las probabilidades son grandes o pequeñas, el viejo Notre Dame ganará. Mientras sus leales hijos marchan, ¡adelante a la victoria! ";¿Quién escribió la letra original de la Marcha de la Victoria de Notre Dame?;El abuelo de Notre Dame;El padre Francisco Xaviera;John F. Shea;hermano;hermano;Valor Predeterminado
"La Marcha de la Victoria de Notre Dame es la canción de lucha para la Universidad de Notre Dame. Fue escrito por dos hermanos graduados de Notre Dame. El Rev. Michael J. Shea, un graduado de 1904, escribió la música, y su hermano, John F. Shea, que obtuvo títulos en 1906 y 1908, escribió la letra original. Las letras fueron revisadas en la década de 1920; Apareció por primera vez bajo los derechos de autor de la Universidad de Notre Dame en 1928. El estribillo dice: Ánimo para el viejo Notre Dame, despierta los ecos que aclaman su nombre. ¡Enviad una ovación en alto, empujad el trueno desde el cielo! Si las probabilidades son grandes o pequeñas, el viejo Notre Dame ganará. Mientras sus leales hijos marchan, ¡adelante a la victoria! ";¿En qué año se graduó Michael J. Shea de Notre Dame?;Un graduado de 1909;un graduado de;Un graduado de 1910;Un graduado de 1907;un graduado de;Valor Predeterminado
"La Marcha de la Victoria de Notre Dame es la canción de lucha para la Universidad de Notre Dame. Fue escrito por dos hermanos graduados de Notre Dame. El Rev. Michael J. Shea, un graduado de 1904, escribió la música, y su hermano, John F. Shea, que obtuvo títulos en 1906 y 1908, escribió la letra original. Las letras fueron revisadas en la década de 1920; Apareció por primera vez bajo los derechos de autor de la Universidad de Notre Dame en 1928. El estribillo dice: Ánimo para el viejo Notre Dame, despierta los ecos que aclaman su nombre. ¡Enviad una ovación en alto, empujad el trueno desde el cielo! Si las probabilidades son grandes o pequeñas, el viejo Notre Dame ganará. Mientras sus leales hijos marchan, ¡adelante a la victoria! ";¿Quién es responsable de escribir la música de Notre Dame Victory March?;John F. Shea;Michael J. Shea;Rev. Michael J. Shea;John F. Shea;Michael J. Shea;Valor Predeterminado
"La Marcha de la Victoria de Notre Dame es la canción de lucha para la Universidad de Notre Dame. Fue escrito por dos hermanos graduados de Notre Dame. El Rev. Michael J. Shea, un graduado de 1904, escribió la música, y su hermano, John F. Shea, que obtuvo títulos en 1906 y 1908, escribió la letra original. Las letras fueron revisadas en la década de 1920; Apareció por primera vez bajo los derechos de autor de la Universidad de Notre Dame en 1928. El estribillo dice: Ánimo para el viejo Notre Dame, despierta los ecos que aclaman su nombre. ¡Enviad una ovación en alto, empujad el trueno desde el cielo! Si las probabilidades son grandes o pequeñas, el viejo Notre Dame ganará. Mientras sus leales hijos marchan, ¡adelante a la victoria! ";¿Adónde marchan los leales hijos de Notre Dame Fight Song?;Con sus pasos de victoria;¡adelante a;A través del mar;Hacia el cielo;¡adelante a;Valor Predeterminado
En la película Knute Rockne, All American, Knute Rockne (interpretado por Pat O 'Brien) ofrece el famoso discurso Win one for the Gipper, momento en el que la música de fondo se hincha. George Gipp fue interpretado por Ronald Reagan, cuyo apodo The Gipper deriva de este papel. Esta escena fue parodiada en la película Airplane! Con la misma música de fondo, sólo esta vez honrando a George Zipp, uno de los ex camaradas de Ted Striker. La canción también fue prominente en la película Rudy, con Sean Astin como Daniel Rudy Ruettiger, que albergaba sueños de jugar al fútbol en la Universidad de Notre Dame a pesar de obstáculos significativos.;Ronald Reagan tenía un apodo, ¿qué era?;El Gippin;The Gippe;El Gipper;"""The Gippe";"""The Gippe";Valor Predeterminado
En la película Knute Rockne, All American, Knute Rockne (interpretado por Pat O 'Brien) ofrece el famoso discurso Win one for the Gipper, momento en el que la música de fondo se hincha. George Gipp fue interpretado por Ronald Reagan, cuyo apodo The Gipper deriva de este papel. Esta escena fue parodiada en la película Airplane! Con la misma música de fondo, sólo esta vez honrando a George Zipp, uno de los ex camaradas de Ted Striker. La canción también fue prominente en la película Rudy, con Sean Astin como Daniel Rudy Ruettiger, que albergaba sueños de jugar al fútbol en la Universidad de Notre Dame a pesar de obstáculos significativos.;¿En qué película hizo una parodia del discurso Ganar uno por el Gipper?;Airheads: Los que quieren comerse a los demás;El diario de una señorita de 14 años;Airplane!;Dumb and Dumber;Airplane!;Valor Predeterminado
